pl_name,pl_rade,pl_orbper,sy_snum,sy_pnum,disc_year
Kepler-1497 b,1.66,8.74199772,1,1,2016
Kepler-202 c,1.88,16.28247625,1,2,2014
HAT-P-12 b,10.749,3.2130598,1,1,2009
TrES-3 b,14.975,1.30618581,1,1,2007
TrES-3 b,14.706208,1.30619,1,1,2007
WASP-45 b,13.002,3.1260876,2,1,2011
TrES-5 b,13.552,1.4822446,1,1,2011
TrES-3 b,14.796,1.30618608,1,1,2007
WASP-4 b,15.838,1.33823187,1,1,2007
WASP-5 b,13.081,1.62843142,1,1,2008
WASP-19 b,15.536,0.78884,1,1,2009
TrES-3 b,14.627745,1.3061864,1,1,2007
WASP-5 b,13.047276,1.6284246,1,1,2008
XO-3 b,13.988832,3.1915289,1,1,2007
WASP-4 b,15.210613,1.3382315,1,1,2007
CoRoT-2 b,16.432,1.7429935,2,1,2008
WASP-4 b,14.90797,1.33823251,1,1,2007
WASP-99 b,12.33,5.75251,1,1,2014
TrES-3 b,14.515655,1.30619,1,1,2007
WASP-5 b,13.125739,1.6284246,1,1,2008
WASP-4 b,15.367539,1.3382315,1,1,2007
WASP-5 b,12.184,1.6284279,1,1,2008
WASP-12 b,20.1,1.091423,3,1,2008
CoRoT-2 b,16.42116,1.7429964,2,1,2008
WASP-19 b,15.636555,0.78883942,1,1,2009
WASP-19 b,15.423584,0.788839,1,1,2009
WASP-45 b,11.119328,3.126096,2,1,2011
HAT-P-12 b,10.76064,3.21,1,1,2009
WASP-12 b,19.39157,1.09,3,1,2008
WASP-19 b,15.80469,0.79,1,1,2009
CoRoT-2 b,16.36514,1.7429935,2,1,2008
WASP-12 b,20.456425,1.0914222,3,1,2008
WASP-4 b,15.289076,1.33823144,1,1,2007
WASP-5 b,13.170575,1.6284246,1,1,2008
WASP-4 b,15.031269,1.3382299,1,1,2007
WASP-5 b,12.77826,1.6284229,1,1,2008
HAT-P-16 b,13.33871,2.775970244,3,1,2010
WASP-12 b,20.84874,1.09142119,3,1,2008
CoRoT-2 b,16.47723,1.7429935,2,1,2008
TrES-3 b,14.68379,1.306187,1,1,2007
WASP-20 b,16.388,4.8996284,2,1,2015
TrES-5 b,13.383546,1.48224686,1,1,2011
TrES-5 b,13.484427,1.48224754,1,1,2011
TRAPPIST-1 b,1.113,1.510848,1,7,2016
TRAPPIST-1 c,1.049,2.421848,1,7,2016
WASP-120 b,16.510857,3.6112706,1,1,2016
WASP-123 b,14.773462,2.9776412,2,1,2016
WASP-113 b,15.793481,4.54216874538,1,1,2016
WASP-114 b,15.008851,1.5487743,2,1,2016
WASP-140 b,16.14096,2.2359835,2,1,2016
WASP-136 b,15.46842,5.215357,1,1,2016
Kepler-391 b,2.5,7.4175,1,2,2014
Kepler-1001 c,1.9,9.18186,1,2,2020
K2-98 b,4.5,10.136527,1,1,2016
Kepler-338 b,2.44,13.726976,1,4,2014
Kepler-205 c,1.58,20.30652862,1,2,2014
K2-104 b,2.43,1.974202,1,1,2016
Kepler-520 c,1.07,5.21104261,1,2,2016
Kepler-446 c,1.11,3.036179,1,3,2015
Kepler-248 c,4.22,16.23946714,1,2,2014
Kepler-1924 b,1.2,15.3317018,1,1,2021
Kepler-270 c,1.59,25.2629,1,2,2014
GJ 3090 b,2.02068,2.8531016,1,1,2022
Kepler-1154 b,1.67,5.1856142,1,2,2016
K2-269 b,1.4,4.144937,1,1,2018
Kepler-913 b,2.62,10.29672521,1,2,2016
Kepler-1154 c,1.67,8.45808312,1,2,2016
Kepler-122 b,1.92,5.766148,1,5,2014
Kepler-1294 b,3.02,115.6862258,1,1,2016
Kepler-1137 b,2.9,23.92113,1,1,2016
TOI-4463 A b,22.4297,2.88069,2,1,2023
Kepler-153 b,2.87,18.87021566,1,2,2014
Kepler-222 d,3.75,28.08194365,1,3,2014
Kepler-443 b,2.32,177.668663,1,1,2015
Kepler-361 c,2.55,55.18815,1,2,2014
Kepler-188 b,1.63,2.06190864,1,2,2014
Kepler-1437 b,1.32,10.9295461,1,1,2016
Kepler-159 b,2.6,10.13961841,1,2,2014
Kepler-347 c,1.75,27.320871,1,3,2014
Kepler-379 c,2.22,62.7847,1,2,2014
Kepler-342 e,1.18,1.644221032,1,4,2016
Kepler-618 b,2.31,3.595736,1,1,2016
Kepler-1267 b,2.899,,1,1,2016
Kepler-832 b,2.25,7.13968,1,1,2016
Kepler-730 b,10.3,6.491684259,1,2,2016
Kepler-981 b,2.217,,1,1,2016
Kepler-355 c,2.82,25.76313,1,2,2014
Kepler-298 b,2.2,10.47548192,1,3,2014
Kepler-272 c,1.87,6.05730524,1,3,2014
Kepler-634 b,2.145,,1,1,2016
TOI-2096 b,1.243,3.1190633,1,2,2023
Kepler-1179 b,1.34,2.685057492,1,1,2016
CoRoT-28 b,10.704595,5.20851,1,1,2015
K2-195 b,3.0,15.852989,1,2,2018
Kepler-363 c,2.35,7.54233911,1,3,2014
Kepler-256 c,2.11,3.388012244,1,4,2014
Kepler-1736 b,2.44,37.8101174,1,1,2021
K2-275 c,2.21,8.4388385,1,2,2018
Kepler-822 b,1.52,3.222969273,1,1,2016
Kepler-1093 c,2.08,89.722292,1,2,2016
Kepler-1387 b,0.87,2.279523364,1,1,2016
HAT-P-2 b,13.2583,5.633477,1,2,2007
Kepler-1155 b,2.6,33.47025,1,1,2016
Kepler-520 b,2.538,19.67416124,1,2,2016
Kepler-1050 c,1.48,21.1284569,1,2,2016
HATS-36 b,13.70940899,4.17471430219,1,1,2018
Kepler-624 b,2.45,14.58649856,1,1,2016
Kepler-424 b,9.13,3.311864499,1,2,2014
Kepler-838 b,2.77,15.74958583,1,1,2016
WASP-165 b,14.12334,3.465509,1,1,2018
Kepler-1601 b,0.851,2.20921951,1,1,2016
